Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal																				
Universität Regensburg																					
2000374973																					
Period covered by Report:																					
2014-01-01 to 2014-12-31																					
Date run:																					
2015-03-17																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014
Chemosensory Perception	Springer	SpringerLink	10.1007/12078.1936-5810	12078	1936-5802	1936-5810	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0
Chesapeake Science	Springer	SpringerLink		12395	0252-9599	1860-6261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Child & Youth Care Forum	Springer	SpringerLink	10.1007/10566.1573-3319	10566	1053-1890	1573-3319	13	1	8	1	2	7	0	0	1	0	0	0	1	0	1
Child Indicators Research	Springer	SpringerLink	10.1007/12187.1874-8988	12187	1874-897X	1874-8988	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Child Psychiatry & Human Development	Springer	SpringerLink	10.1007/10578.1573-3327	10578	0009-398X	1573-3327	34	4	21	1	9	9	3	1	2	1	4	1	2	1	0
Child and Adolescent Psychiatry and Mental Health	Springer	SpringerLink		13034		1753-2000	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Child and Adolescent Social Work Journal	Springer	SpringerLink	10.1007/10560.1573-2797	10560	0738-0151	1573-2797	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Child's Nervous System	Springer	SpringerLink	10.1007/381.1433-0350	381	0256-7040	1433-0350	77	13	60	13	4	3	3	0	5	4	3	7	13	12	10
Children's Literature in Education	Springer	SpringerLink	10.1007/10583.1573-1693	10583	0045-6713	1573-1693	7	1	6	0	1	0	1	1	0	2	1	0	0	0	1
China Accounting and Finance Review	Springer	SpringerLink		40570		2307-3055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China Finance and Economic Review	Springer	SpringerLink		40589		2196-5633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China Ocean Engineering	Springer	SpringerLink	10.1007/13344.2191-8945	13344	0890-5487	2191-8945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China-EU Law Journal	Springer	SpringerLink	10.1007/12689.1868-5161	12689	1868-5153	1868-5161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Annals of Mathematics, Series B	Springer	SpringerLink	10.1007/11401.1860-6261	11401	0252-9599	1860-6261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Geographical Science	Springer	SpringerLink	10.1007/11769.1993-064X	11769	1002-0063	1993-064X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Journal of Cancer Research	Springer	SpringerLink		11670	1000-9604	1993-0631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Journal of Geochemistry	Springer	SpringerLink	10.1007/11631.1993-0364	11631	1000-9426	1993-0364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Journal of Integrative Medicine	Springer	SpringerLink	10.1007/11655.1993-0402	11655	1672-0415	1993-0402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Journal of Mechanical Engineering	Springer	SpringerLink		10033	1000-9345	2192-8258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Journal of Oceanology and Limnology	Springer	SpringerLink	10.1007/343.1993-5005	343	0254-4059	1993-5005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Journal of Polymer Science	Springer	SpringerLink	10.1007/10118.1439-6203	10118	0256-7679	1439-6203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Medicine	Springer	SpringerLink		13020		1749-8546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chinese Science Bulletin	Springer	SpringerLink	10.1007/11434.1861-9541	11434	1001-6538	1861-9541	12	0	10	1	2	2	3	0	0	0	0	0	4	0	0
Chiropractic & Manual Therapies	Springer	SpringerLink		12998		2045-709X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromatographia	Springer	SpringerLink	10.1007/10337.1612-1112	10337	0009-5893	1612-1112	138	1	68	24	16	15	7	12	15	21	3	8	7	9	1
Chromosoma	Springer	SpringerLink	10.1007/412.1432-0886	412	0009-5915	1432-0886	64	9	43	8	4	8	8	5	2	7	3	3	2	5	9
Chromosome Research	Springer	SpringerLink	10.1007/10577.1573-6849	10577	0967-3849	1573-6849	39	5	26	2	1	12	4	1	2	2	0	6	4	2	3
Cilia	Springer	SpringerLink		13630		2046-2530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circuits, Systems, and Signal Processing	Springer	SpringerLink	10.1007/34.1531-5878	34	0278-081X	1531-5878	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0
City, Territory and Architecture	Springer	SpringerLink		40410		2195-2701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clean Technologies and Environmental Policy	Springer	SpringerLink	10.1007/10098.1618-9558	10098	1618-954X	1618-9558	5	0	3	0	0	0	0	0	0	0	1	2	0	0	2
Climate Change Responses	Springer	SpringerLink		40665		2053-7565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Climate Dynamics	Springer	SpringerLink	10.1007/382.1432-0894	382	0930-7575	1432-0894	10	0	7	1	0	0	3	2	1	0	1	0	1	1	0
Climatic Change	Springer	SpringerLink	10.1007/10584.1573-1480	10584	0165-0009	1573-1480	60	3	34	8	8	0	3	5	3	9	4	2	3	12	3
Clinical & Experimental Metastasis	Springer	SpringerLink	10.1007/10585.1573-7276	10585	0262-0898	1573-7276	73	2	58	7	8	8	7	5	1	4	8	4	9	7	5
Clinical Autonomic Research	Springer	SpringerLink	10.1007/10286.1619-1560	10286	0959-9851	1619-1560	8	0	5	0	3	2	0	0	0	0	0	0	0	3	0
Clinical Child and Family Psychology Review	Springer	SpringerLink	10.1007/10567.1573-2827	10567	1096-4037	1573-2827	49	7	31	2	5	8	2	5	4	4	2	7	7	1	2
Clinical Drug Investigation	Springer	SpringerLink	10.1007/40261.1179-1918	40261	1173-2563	1179-1918	11	0	8	2	3	2	0	0	1	0	2	0	1	0	0
Clinical Epigenetics	Springer	SpringerLink		13148	1868-7075	1868-7083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinical Hypertension	Springer	SpringerLink		40885		2056-5909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinical Journal of Gastroenterology	Springer	SpringerLink	10.1007/12328.1865-7265	12328	1865-7257	1865-7265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinical Neuroradiology	Springer	SpringerLink	10.1007/62.1869-1447	62	1869-1439	1869-1447	42	0	29	5	6	6	9	0	1	1	2	2	0	8	2
Clinical Oncology and Cancer Research	Springer	SpringerLink		11805	1674-5361	1868-324X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinical Oral Investigations	Springer	SpringerLink	10.1007/784.1436-3771	784	1432-6981	1436-3771	544	62	444	49	42	60	36	79	41	40	54	38	36	40	29
Clinical Orthopaedics and Related Research®	Springer	SpringerLink	10.1007/11999.1528-1132	11999	0009-921X	1528-1132	149	3	143	14	19	33	9	9	3	4	26	9	6	14	3
Clinical Pharmacokinetics	Springer	SpringerLink	10.1007/40262.1179-1926	40262	0312-5963	1179-1926	16	1	14	0	0	0	0	0	0	0	5	3	7	1	0
Clinical Proteomics	Springer	SpringerLink		12014	1542-6416	1559-0275	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Clinical Research in Cardiology	Springer	SpringerLink	10.1007/392.1861-0692	392	1861-0684	1861-0692	78	1	58	19	8	5	7	2	6	6	3	4	5	9	4
Clinical Research in Cardiology Supplements	Springer	SpringerLink		11789	1861-0706	1861-0714	15	0	10	3	0	2	0	0	0	3	0	1	2	1	3
Clinical Reviews in Allergy & Immunology	Springer	SpringerLink	10.1007/12016.1559-0267	12016	1080-0549	1559-0267	38	3	33	6	4	1	3	3	2	4	2	5	4	1	3
Clinical Reviews in Bone and Mineral Metabolism	Springer	SpringerLink	10.1007/12018.1559-0119	12018	1534-8644	1559-0119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinical Rheumatology	Springer	SpringerLink	10.1007/10067.1434-9949	10067	0770-3198	1434-9949	76	6	66	4	13	8	8	6	5	6	6	6	8	4	2
Clinical Sarcoma Research	Springer	SpringerLink		13569		2045-3329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinical Social Work Journal	Springer	SpringerLink	10.1007/10615.1573-3343	10615	0091-1674	1573-3343	24	0	14	2	5	5	0	6	3	0	3	0	0	0	0
Clinical and Experimental Medicine	Springer	SpringerLink	10.1007/10238.1591-9528	10238	1591-8890	1591-9528	16	2	12	1	3	1	0	0	1	1	1	3	2	2	1
Clinical and Experimental Nephrology	Springer	SpringerLink	10.1007/10157.1437-7799	10157	1342-1751	1437-7799	46	3	41	8	3	4	3	3	2	4	3	2	12	2	0
Clinical and Molecular Allergy	Springer	SpringerLink		12948		1476-7961	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Clinical and Translational Allergy	Springer	SpringerLink		13601		2045-7022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinical and Translational Imaging	Springer	SpringerLink		40336	2281-5872	2281-7565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clinical and Translational Medicine	Springer	SpringerLink	10.1007/40169.2001-1326	40169		2001-1326	5	0	2	0	0	0	0	0	5	0	0	0	0	0	0
Clinical and Translational Oncology	Springer	SpringerLink	10.1007/12094.1699-3055	12094	1699-048X	1699-3055	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Cliometrica	Springer	SpringerLink	10.1007/11698.1863-2513	11698	1863-2505	1863-2513	14	0	12	0	0	0	0	7	4	0	0	2	1	0	0
Cluster Computing	Springer	SpringerLink	10.1007/10586.1573-7543	10586	1386-7857	1573-7543	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0
Cognition, Technology & Work	Springer	SpringerLink	10.1007/10111.1435-5566	10111	1435-5558	1435-5566	23	0	13	0	1	3	1	0	0	2	6	0	2	7	1
Cognitive Computation	Springer	SpringerLink	10.1007/12559.1866-9964	12559	1866-9956	1866-9964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cognitive Neurodynamics	Springer	SpringerLink	10.1007/11571.1871-4099	11571	1871-4080	1871-4099	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Cognitive Processing	Springer	SpringerLink	10.1007/10339.1612-4790	10339	1612-4782	1612-4790	72	7	47	6	10	12	6	15	2	4	0	2	5	6	4
Cognitive Therapy and Research	Springer	SpringerLink	10.1007/10608.1573-2819	10608	0147-5916	1573-2819	114	4	77	6	27	9	7	6	7	3	7	8	7	5	22
Cognitive, Affective, & Behavioral Neuroscience	Springer	SpringerLink		13415	1530-7026	1531-135X	142	12	90	3	6	12	12	23	16	15	10	9	16	13	7
Coke and Chemistry	Springer	SpringerLink		11955	1068-364X	1934-8398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collectanea Mathematica	Springer	SpringerLink	10.1007/13348.2038-4815	13348	0010-0757	2038-4815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colloid Journal	Springer	SpringerLink	10.1134/10595.1608-3067	10595	1061-933X	1608-3067	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Colloid and Polymer Science	Springer	SpringerLink	10.1007/396.1435-1536	396	0303-402X	1435-1536	331	0	173	22	16	9	71	24	16	24	11	23	24	67	24
Combination Products in Therapy	Springer	SpringerLink	10.1007/13556.2190-9180	13556	2195-5859	2190-9180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Combinatorica	Springer	SpringerLink	10.1007/493.1439-6912	493	0209-9683	1439-6912	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Combustion, Explosion, and Shock Waves	Springer	SpringerLink	10.1134/10573.1573-8345	10573	0010-5082	1573-8345	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0
Commentarii Mathematici Helvetici	Springer	SpringerLink		14	0010-2571	1420-8946	59	0	26	5	3	10	12	12	1	5	3	0	2	2	4
Communications in Mathematical Physics	Springer	SpringerLink	10.1007/220.1432-0916	220	0010-3616	1432-0916	197	0	135	24	19	8	14	18	9	15	5	23	31	25	6
Communications in Mathematics and Statistics	Springer	SpringerLink		40304	2194-6701	2194-671X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Communications in Mobile Computing	Springer	SpringerLink		13678		2192-1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Community Mental Health Journal	Springer	SpringerLink	10.1007/10597.1573-2789	10597	0010-3853	1573-2789	14	1	10	2	2	0	3	5	0	0	2	0	0	0	0
Comparative Clinical Pathology	Springer	SpringerLink	10.1007/580.1618-565X	580	1618-5641	1618-565X	5	0	3	3	0	0	0	0	0	0	0	0	2	0	0
Comparative Hepatology	Springer	SpringerLink		12946		1476-5926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Complex Adaptive Systems Modeling	Springer	SpringerLink	10.1007/40294.2194-3206	40294		2194-3206	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Complex Analysis and Operator Theory	Springer	SpringerLink	10.1007/11785.1661-8262	11785	1661-8254	1661-8262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Compositio Mathematica	Springer	SpringerLink		10599	0010-437X	1570-5846	8	0	3	3	0	0	0	3	0	0	0	0	2	0	0
Comprehensive Therapy	Springer	SpringerLink		12019	0098-8243	1559-1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Computational Astrophysics and Cosmology	Springer	SpringerLink		40668		2197-7909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Computational Economics	Springer	SpringerLink	10.1007/10614.1572-9974	10614	0927-7099	1572-9974	12	0	7	0	1	0	4	1	0	0	1	0	1	0	4
Computational Geosciences	Springer	SpringerLink	10.1007/10596.1573-1499	10596	1420-0597	1573-1499	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Computational Management Science	Springer	SpringerLink	10.1007/10287.1619-6988	10287	1619-697X	1619-6988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Computational Mathematics and Mathematical Physics	Springer	SpringerLink	10.1134/11470.1555-6662	11470	0965-5425	1555-6662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Computational Mathematics and Modeling	Springer	SpringerLink	10.1007/10598.1573-837X	10598	1046-283X	1573-837X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Computational Mechanics	Springer	SpringerLink	10.1007/466.1432-0924	466	0178-7675	1432-0924	9	3	4	0	0	1	2	2	0	0	0	0	0	0	4
Computational Methods and Function Theory	Springer	SpringerLink	10.1007/40315.2195-3724	40315	1617-9447	2195-3724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Computational Optimization and Applications	Springer	SpringerLink	10.1007/10589.1573-2894	10589	0926-6003	1573-2894	10	0	5	0	1	1	1	2	2	0	0	2	0	0	1
Computational Particle Mechanics	Springer	SpringerLink		40571	2196-4378	2196-4386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Computational Social Networks	Springer	SpringerLink		40649		2197-4314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Computational Statistics	Springer	SpringerLink	10.1007/180.1613-9658	180	0943-4062	1613-9658	12	0	8	0	0	2	1	1	1	0	5	0	0	2	0
Computational and Applied Mathematics	Springer	SpringerLink		40314	0101-8205	1807-0302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Computational and Mathematical Organization Theory	Springer	SpringerLink	10.1007/10588.1572-9346	10588	1381-298X	1572-9346	6	0	4	1	1	0	0	3	0	0	1	0	0	0	0
Computer Science - Research and Development	Springer	SpringerLink	10.1007/450.1865-2042	450	1865-2034	1865-2042	16	0	9	3	4	2	1	0	0	1	0	0	1	3	1
Computer Supported Cooperative Work (CSCW)	Springer	SpringerLink	10.1007/10606.1573-7551	10606	0925-9724	1573-7551	5	0	2	0	2	0	0	0	0	1	0	0	2	0	0
Computing	Springer	SpringerLink	10.1007/607.1436-5057	607	0010-485X	1436-5057	34	0	16	2	4	1	3	1	1	8	0	2	3	4	5
Computing and Visualization in Science	Springer	SpringerLink	10.1007/791.1433-0369	791	1432-9360	1433-0369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conflict and Health	Springer	SpringerLink		13031		1752-1505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conservation Genetics	Springer	SpringerLink	10.1007/10592.1572-9737	10592	1566-0621	1572-9737	67	2	44	3	16	8	3	5	3	8	0	0	5	14	2
Conservation Genetics Resources	Springer	SpringerLink	10.1007/12686.1877-7260	12686	1877-7252	1877-7260	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0
Constitutional Political Economy	Springer	SpringerLink	10.1007/10602.1572-9966	10602	1043-4062	1572-9966	10	1	7	1	2	1	1	1	1	1	1	1	0	0	0
Constraints	Springer	SpringerLink	10.1007/10601.1572-9354	10601	1383-7133	1572-9354	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Constructive Approximation	Springer	SpringerLink	10.1007/365.1432-0940	365	0176-4276	1432-0940	5	0	4	0	0	4	0	0	0	1	0	0	0	0	0
Contemporary Family Therapy	Springer	SpringerLink	10.1007/10591.1573-3335	10591	0892-2764	1573-3335	8	0	6	0	3	0	0	0	0	2	0	1	0	2	0
Contemporary Islam	Springer	SpringerLink	10.1007/11562.1872-0226	11562	1872-0218	1872-0226	4	0	4	0	0	0	0	1	0	0	1	0	0	0	2
Contemporary Jewry	Springer	SpringerLink	10.1007/12397.1876-5165	12397	0147-1694	1876-5165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contemporary Problems of Ecology	Springer	SpringerLink	10.1134/12259.1995-4263	12259	1995-4255	1995-4263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contemporary School Psychology	Springer	SpringerLink		40688	2159-2020	2161-1505	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Continental Philosophy Review	Springer	SpringerLink	10.1007/11007.1573-1103	11007	1387-2842	1573-1103	7	0	4	0	0	1	1	1	0	1	1	0	0	0	2
Continuum Mechanics and Thermodynamics	Springer	SpringerLink	10.1007/161.1432-0959	161	0935-1175	1432-0959	32	0	22	3	5	3	5	0	1	1	2	1	1	3	7
Contributions to Mineralogy and Petrology	Springer	SpringerLink	10.1007/410.1432-0967	410	0010-7999	1432-0967	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Control Theory and Technology	Springer	SpringerLink	10.1007/11768.1993-0623	11768	2095-6983	2198-0942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Controlling & Management Review	Springer	SpringerLink		12176	2195-8262	2195-8270	516	50	366	59	52	30	73	44	36	35	16	52	32	30	57
Coral Reefs	Springer	SpringerLink	10.1007/338.1432-0975	338	0722-4028	1432-0975	18	1	10	1	4	0	0	1	0	2	0	0	0	4	6
Cosmic Research	Springer	SpringerLink	10.1134/10604.1608-3075	10604	0010-9525	1608-3075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cost Effectiveness and Resource Allocation	Springer	SpringerLink		12962		1478-7547	3	1	1	0	0	0	0	0	0	0	0	0	0	0	3
Cough	Springer	SpringerLink		12997		1745-9974	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Crime Science	Springer	SpringerLink	10.1007/40163.2193-7680	40163		2193-7680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crime, Law and Social Change	Springer	SpringerLink	10.1007/10611.1573-0751	10611	0925-4994	1573-0751	45	4	30	2	10	1	11	2	0	4	0	5	0	2	8
Criminal Law Forum	Springer	SpringerLink	10.1007/10609.1572-9850	10609	1046-8374	1572-9850	4	0	4	0	0	0	0	0	0	2	1	0	0	0	1
Criminal Law and Philosophy	Springer	SpringerLink	10.1007/11572.1871-9805	11572	1871-9791	1871-9805	29	3	24	1	0	0	0	0	23	0	2	1	2	0	0
Critical Care	Springer	SpringerLink		12426	1574-4280	1875-7081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Critical Care	Springer	SpringerLink		13054		1364-8535	21	5	14	1	1	2	0	2	2	0	7	0	0	4	2
Critical Criminology	Springer	SpringerLink	10.1007/10612.1572-9877	10612	1205-8629	1572-9877	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Critical Reviews in Neurosurgery	Springer	SpringerLink		329	0939-0146	1433-0377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Critical Ultrasound Journal	Springer	SpringerLink	10.1007/13089.2036-7902	13089	2036-3176	2036-7902	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Cryptography and Communications	Springer	SpringerLink	10.1007/12095.1936-2455	12095	1936-2447	1936-2455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crystallography Reports	Springer	SpringerLink	10.1134/11445.1562-689X	11445	1063-7745	1562-689X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cultural Studies of Science Education	Springer	SpringerLink	10.1007/11422.1871-1510	11422	1871-1502	1871-1510	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0
Culture and Brain	Springer	SpringerLink	10.1007/40167.2193-8660	40167	2193-8652	2193-8660	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Culture, Medicine, and Psychiatry	Springer	SpringerLink	10.1007/11013.1573-076X	11013	0165-005X	1573-076X	9	2	4	0	1	2	0	1	1	0	0	2	0	2	0
Current Addiction Reports	Springer	SpringerLink		40429		2196-2952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Allergy and Asthma Reports	Springer	SpringerLink	10.1007/11882.1534-6315	11882	1529-7322	1534-6315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Anesthesiology Reports	Springer	SpringerLink	10.1007/40140.2167-6275	40140		2167-6275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Atherosclerosis Reports	Springer	SpringerLink	10.1007/11883.1534-6242	11883	1523-3804	1534-6242	3	0	2	0	0	0	0	0	1	0	2	0	0	0	0
Current Attention Disorders Reports	Springer	SpringerLink		12618	1943-4561	1943-457X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Behavioral Neuroscience Reports	Springer	SpringerLink		40473		2196-2979	3	0	2	0	0	0	0	0	0	0	0	2	1	0	0
Current Bladder Dysfunction Reports	Springer	SpringerLink	10.1007/11884.1931-7220	11884	1931-7212	1931-7220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Breast Cancer Reports	Springer	SpringerLink	10.1007/12609.1943-4596	12609	1943-4588	1943-4596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Cardiology Reports	Springer	SpringerLink	10.1007/11886.1534-3170	11886	1523-3782	1534-3170	10	0	7	1	0	1	1	0	1	2	0	1	0	0	3
Current Cardiovascular Imaging Reports	Springer	SpringerLink	10.1007/12410.1941-9074	12410	1941-9066	1941-9074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Cardiovascular Risk Reports	Springer	SpringerLink	10.1007/12170.1932-9563	12170	1932-9520	1932-9563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Clinical Microbiology Reports	Springer	SpringerLink		40588		2196-5471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Colorectal Cancer Reports	Springer	SpringerLink	10.1007/11888.1556-3804	11888	1556-3790	1556-3804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Dermatology Reports	Springer	SpringerLink	10.1007/13671.2162-4933	13671		2162-4933	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Current Developmental Disorders Reports	Springer	SpringerLink		40474		2196-2987	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0
Current Diabetes Reports	Springer	SpringerLink	10.1007/11892.1539-0829	11892	1534-4827	1539-0829	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Current Emergency and Hospital Medicine Reports	Springer	SpringerLink	10.1007/40138.2167-4884	40138		2167-4884	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Current Environmental Health Reports	Springer	SpringerLink		40572		2196-5412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Epidemiology Reports	Springer	SpringerLink		40471		2196-2995	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Current Fungal Infection Reports	Springer	SpringerLink	10.1007/12281.1936-377X	12281	1936-3761	1936-377X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current GERD Reports	Springer	SpringerLink		12171	1934-967X	1934-9661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Gastroenterology Reports	Springer	SpringerLink	10.1007/11894.1534-312X	11894	1522-8037	1534-312X	2	1	1	0	0	0	0	0	0	2	0	0	0	0	0
Current Genetic Medicine Reports	Springer	SpringerLink	10.1007/40142.2167-4876	40142		2167-4876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Genetics	Springer	SpringerLink	10.1007/294.1432-0983	294	0172-8083	1432-0983	45	15	22	4	1	4	6	3	0	3	3	2	2	13	4
Current Geriatrics Reports	Springer	SpringerLink	10.1007/13670.2162-4941	13670		2196-7865	3	0	1	2	0	0	0	0	0	0	1	0	0	0	0
Current HIV/AIDS Reports	Springer	SpringerLink	10.1007/11904.1548-3576	11904	1548-3568	1548-3576	4	0	4	1	0	0	2	1	0	0	0	0	0	0	0
Current Heart Failure Reports	Springer	SpringerLink	10.1007/11897.1546-9549	11897	1546-9530	1546-9549	4	0	3	0	2	0	0	0	0	0	0	0	2	0	0
Current Hematologic Malignancy Reports	Springer	SpringerLink	10.1007/11899.1558-822X	11899	1558-8211	1558-822X	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Current Hepatology Reports	Springer	SpringerLink	10.1007/11901.1541-0706	11901		2195-9595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Hypertension Reports	Springer	SpringerLink	10.1007/11906.1534-3111	11906	1522-6417	1534-3111	8	0	7	0	0	0	0	0	0	0	2	0	0	5	1
Current Infectious Disease Reports	Springer	SpringerLink	10.1007/11908.1534-3146	11908	1523-3847	1534-3146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Microbiology	Springer	SpringerLink	10.1007/284.1432-0991	284	0343-8651	1432-0991	61	12	34	3	5	3	14	6	1	2	4	0	17	3	3
Current Neurology and Neuroscience Reports	Springer	SpringerLink	10.1007/11910.1534-6293	11910	1528-4042	1534-6293	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Current Nutrition Reports	Springer	SpringerLink	10.1007/13668.2161-3311	13668		2161-3311	4	0	2	0	0	3	0	1	0	0	0	0	0	0	0
Current Obesity Reports	Springer	SpringerLink	10.1007/13679.2162-4968	13679		2162-4968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Obstetrics and Gynecology Reports	Springer	SpringerLink	10.1007/13669.2161-3303	13669		2161-3303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Current Oncology Reports	Springer	SpringerLink	10.1007/11912.1534-6269	11912	1523-3790	1534-6269	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Current Ophthalmology Reports	Springer	SpringerLink	10.1007/40135.2167-4868	40135		2167-4868	3	0	1	0	0	2	0	0	0	0	1	0	0	0	0
Current Oral Health Reports	Springer	SpringerLink		40496		2196-3002	8	1	4	0	0	0	0	0	0	0	0	1	4	0	3
